TALHAO;AREA_TALHAO;ESPAC;PARCELA;AREA_PARCELA;COVA;DAP;HT;OBS;hd_not;ht_est_not;AS;IDADE;vcc_est_not;vsc_est_not
2;45;3x3;2;810;69;15;NA;N;23,76;23,69678749;0,017671459;66,1;0,201878662;0,176886015
2;45;3x3;2;810;70;13;NA;N;23,76;22,37553002;0,013273229;66,1;0,145774231;0,127062352
2;45;3x3;2;810;71;11,5;NA;N;23,76;21,15430903;0,010386891;66,1;0,109616314;0,095142957
2;45;3x3;2;810;72;13;NA;N;23,76;22,37553002;0,013273229;66,1;0,145774231;0,127062352
2;45;3x3;2;810;73;14,5;23,1;D;23,76;23,1;0,016512996;66,1;0,184950835;0,161922099
2;45;3x3;2;810;74;14;NA;N;23,76;23,07391375;0,015393804;66,1;0,172703984;0,150937339
2;45;3x3;2;810;75;16;NA;N;23,76;24,25557959;0,020106193;66,1;0,233286404;0,20490592
2;45;3x3;2;810;76;9,5;NA;N;23,76;19,09528286;0,007088218;66,1;0,069384129;0,059859494
2;45;3x3;2;810;77;15,5;NA;N;23,76;23,98356984;0,018869191;66,1;0,217304117;0,190637221
2;45;3x3;2;810;78;15,5;NA;N;23,76;23,98356984;0,018869191;66,1;0,217304117;0,190637221
2;45;3x3;2;810;79;15;NA;N;23,76;23,69678749;0,017671459;66,1;0,201878662;0,176886015
2;45;3x3;2;810;80;15;NA;N;23,76;23,69678749;0,017671459;66,1;0,201878662;0,176886015
2;45;3x3;2;810;81;15;NA;N;23,76;23,69678749;0,017671459;66,1;0,201878662;0,176886015
2;45;3x3;2;810;82;16;NA;N;23,76;24,25557959;0,020106193;66,1;0,233286404;0,20490592
2;45;3x3;2;810;83;15;NA;N;23,76;23,69678749;0,017671459;66,1;0,201878662;0,176886015
2;45;3x3;2;810;84;15;NA;N;23,76;23,69678749;0,017671459;66,1;0,201878662;0,176886015
2;45;3x3;2;810;85;14,5;NA;N;23,76;23,39401808;0,016512996;66,1;0,187011464;0,163652616
2;45;3x3;2;810;86;14;NA;N;23,76;23,07391375;0,015393804;66,1;0,172703984;0,150937339
2;45;3x3;2;810;87;13;NA;N;23,76;22,37553002;0,013273229;66,1;0,145774231;0,127062352
